tag,en,zh
lang,Language,语言
fullscreen,Fullscreen,全屏
bitrate,Bitrate,码率
render fps,Render FPS,渲染帧率
decoder,Decoder,解码器
capture frame,Capture frame,截图
player control,Player control,播放控制
record mp4,Record MP4,录制 MP4
recording,Recording,正在录制
stop recording,Stop Recording,停止录制
channel,Channel,频道
channel width,Channel width,频宽
key,Key,密钥
settings,Settings,设置
video stab,Video stabilization,视频增稳
force sw decoding,Force software decoding,强制软件解码
start,Start,开始
stop,Stop,停止
open,Open,打开
close,Close,关闭
port,Port,端口
local,Local,本机
on,On,开
off,Off,关
invalid usb msg,Invalid USB device!,无效的 USB 设备！
wi-fi stopped msg,Wi-Fi stopped!,无线已停止！
device,Device,设备
capture fail,Failed to capture frame!,截图失败！
frame saved,Frame saved to: ,截图保存至：
record fail,Recording failed!,录制失败！
save record fail,Failed to save the record file!,保存录制文件失败！
video saved,Video saved to: ,视频保存至：
video stab warning,Video stabilization is experimental!,视频增稳是实验性功能！
capture folder,Capture folder,录制文件夹
config folder,Config folder,配置文件夹
crash dump folder,Crash dump folder,崩溃数据文件夹
invalid input data,Invalid input data!,无效的输入数据！
signal lost,Signal lost!,信号丢失！
low light enhancement,Low light enhancement,低光增强
alink,Adaptive link,自适应链路
tx power,TX power,发射功率
use gstreamer,Use GStreamer,使用GStreamer
use vulkan,Use Vulkan,使用Vulkan
codec,Codec,编码
dark mode,Dark mode,黑暗模式
default,Default,默认
packet loss,Packet loss,丢包
restart app to take effect,Restart app to take effect,重启应用生效
codec backend,Codec backend,编解码后端
render backend,Render backend,渲染后端
dual adapter,Dual Adapter,双网卡
forward,Forward RTP,转发 RTP
target port,Target port,目标端口
exit,Exit,退出
no signal,No signal,无信号
signal restored,Signal restored,信号恢复
invalid device,Invalid device,无效设备
alink tip,"Automatically balances image clarity and real-time
smoothness based on wireless signal strength.","根据无线信号强弱，自动平衡画面清晰度与实时流畅度。"
forward tip,"Forward the RTP video stream to the target port only,
without decoding.","仅转发RTP视频流到目标端口，不进行解码。"
